id_pais,year,pib
VEN,2020,482359318767.703
VEN,2019,482359318767.703
VEN,2018,482359318767.703
VEN,2017,482359318767.703
VEN,2016,482359318767.703
VEN,2015,482359318767.703
VEN,2014,482359318767.703
VEN,2013,371005379786.566
VEN,2012,381286237847.667
VEN,2011,316482190800.364
VEN,2010,393192354510.653
VEN,2009,329787628928.471
VEN,2008,315953388510.678
VEN,2007,230364012575.687
VEN,2006,183477522123.894
VEN,2005,145510008134.75
VEN,2004,112453382329.615
VEN,2003,83620628582.1082
VEN,2002,92893587733.6549
VEN,2001,122903960204.505
VEN,2000,117140723529.412
URY,2020,53560755046.5726
URY,2019,61231149880.5857
URY,2018,64515038268.1373
URY,2017,64233966861.2518
URY,2016,57236652490.1699
URY,2015,53274304222.136
URY,2014,57236013086.1223
URY,2013,57531233350.9101
URY,2012,51264390116.4909
URY,2011,47962439303.7247
URY,2010,40284481651.9021
URY,2009,31660911277.0294
URY,2008,30366213119.2928
URY,2007,23410572634.3147
URY,2006,19579457966.0538
URY,2005,17362857683.8545
URY,2004,13686329890.1191
URY,2003,12045631092.5353
URY,2002,13606494599.4261
URY,2001,20898788416.6348
URY,2000,22823255801.8447
USA,2020,20893743833000.0
USA,2019,21372572437000.0
USA,2018,20527156026000.0
USA,2017,19479620056000.0
USA,2016,18695110842000.0
USA,2015,18206020741000.0
USA,2014,17550680174000.0
USA,2013,16843190993000.0
USA,2012,16253972230000.0
USA,2011,15599728123000.0
USA,2010,15048964444000.0
USA,2009,14478064934000.0
USA,2008,14769857911000.0
USA,2007,14474226905000.0
USA,2006,13815586948000.0
USA,2005,13039199193000.0
USA,2004,12217193198000.0
USA,2003,11456442041000.0
USA,2002,10929112955000.0
USA,2001,10581929774000.0
USA,2000,10250947997000.0
TTO,2020,21392536137.7724
TTO,2019,23886216403.3455
TTO,2018,23820742956.9744
TTO,2017,23180107751.9208
TTO,2016,22373566809.8206
TTO,2015,25191551350.4204
TTO,2014,27642525749.3456
TTO,2013,27294453245.3822
TTO,2012,25781712702.8567
TTO,2011,25433011405.3017
TTO,2010,22157948396.2042
TTO,2009,19172165225.5015
TTO,2008,27871587349.5413
TTO,2007,21641620049.9352
TTO,2006,18369361094.3886
TTO,2005,15982282462.3786
TTO,2004,13280275123.0354
TTO,2003,11305459802.0683
TTO,2002,9008273720.93395
TTO,2001,8824873259.32105
TTO,2000,8154338232.95978
BHS,2020,9699500000.0
